scenario,eta,attack,drift,final_qber_mean,final_qber_sd,final_margin_mean,final_margin_sd,final_psi_mean,final_psi_sd,p_final_secure,p_final_transition,p_final_insecure,p_ever_transition,median_first_transition_time
low_disturbance,0.035,0.08,0.008,0.05642233142233142,0.0023393775443462735,0.33688796540565275,0.018990471849432446,3.0626178673241156,0.17264065317665853,1.0,0.0,0.0,0.0,-1.0
transition_margin,0.075,0.16,0.015,0.10706609406096156,0.0033608130585198077,-0.028695088038277177,0.020595931832750304,-0.2608644367116107,0.18723574393409376,0.09333333333333334,0.006666666666666667,0.9,1.0,7.0
elevated_pressure,0.105,0.24,0.02,0.14587362715732421,0.00337951209052793,-0.25259392956898913,0.017250019733981575,-2.2963084506271736,0.1568183612180144,0.0,0.0,1.0,1.0,0.0
high_disturbance,0.145,0.32,0.03,0.19928084451286562,0.003912639182279045,-0.5086017523208003,0.015711647965115656,-4.623652293825457,0.1428331633192333,0.0,0.0,1.0,1.0,0.0
