psi_al,false_alarm_rate,detection_rate
-inf,0.0,0.0
0.001118754528442598,0.0,5.346164127238706e-05
0.0760626373657255,0.0,0.0028334669874365143
0.09358480914575164,0.0,0.0056134723336006415
0.1068596427226741,0.0,0.008393477679764769
0.11534730226746298,0.0,0.011173483025928896
0.1219531973849881,0.0,0.01400695001336541
0.12757938312080744,0.0,0.016786955359529537
0.1317906228570969,0.0,0.019566960705693665
0.13743367259362918,0.0,0.02234696605185779
0.14106215189506086,0.0,0.025180433039294306
0.1450405201762061,0.0,0.027960438385458433
0.1485995230511766,0.0,0.03074044373162256
0.1524441606338737,0.0,0.03352044907778669
0.15637339437323647,0.0,0.0363539160652232
0.1598504975067276,0.0,0.03913392141138733
0.16271252290026272,0.0,0.041913926757551456
0.16570329105427384,0.0,0.04469393210371558
0.16802171906240257,0.0,0.0475273990911521
0.17049466282962744,0.0,0.050307404437316225
0.172583482650695,0.0,0.05308740978348035
0.175634005830267,0.0,0.05586741512964448
0.17810579296680362,0.0,0.058700882117080994
0.18022991939805186,0.0,0.06148088746324512
0.182124373210166,0.0,0.06426089280940925
0.18413812519546377,0.0,0.06704089815557338
0.18583456404161258,0.0,0.06987436514300989
0.18802887225380135,0.0,0.07265437048917402
0.19037016278758043,0.0,0.07543437583533814
0.19259881624208458,0.0,0.07821438118150227
0.194394270992456,0.0,0.08104784816893879
0.19644625741713165,0.0,0.08382785351510291
0.19823780220770915,0.0,0.08660785886126704
0.20014166534851074,0.0,0.08938786420743117
0.20256265155708564,0.0,0.09222133119486768
0.20392147429651983,0.0,0.09500133654103181
0.2056152509382935,0.0,0.09778134188719594
0.2076861704605726,0.0,0.10056134723336006
0.2094432836829448,0.0,0.10334135257952419
0.2109369892903662,0.0,0.1061748195669607
0.2127240409219153,0.0,0.10895482491312483
0.21406232359361596,0.0,0.11173483025928896
0.21604522685628613,0.0,0.11451483560545309
0.2174180372792959,0.0,0.1173483025928896
0.21932114920209364,0.0,0.12012830793905373
0.220584319205706,0.0,0.12290831328521785
0.22221807710341537,0.0,0.125688318631382
0.2235265523311584,0.0,0.1285217856188185
0.22533688880757635,0.0,0.13130179096498262
0.22712830527053174,0.00012512512512512512,0.13402833466987438
0.2285606131795412,0.00012512512512512512,0.1368083400160385
0.23001774556875618,0.00012512512512512512,0.139641807003475
0.23161800239315597,0.00012512512512512512,0.14242181234963913
0.23291450165631103,0.00012512512512512512,0.14520181769580326
0.2341976253102525,0.00012512512512512512,0.1480352846832398
0.23557895036343274,0.00012512512512512512,0.15081529002940391
0.23696831216130693,0.00012512512512512512,0.15359529537556804
0.2382039128246562,0.00012512512512512512,0.15637530072173217
0.2396742998856017,0.00012512512512512512,0.1591553060678963
0.24098488865257364,0.00012512512512512512,0.1619887730553328
0.24242695072879092,0.00012512512512512512,0.16476877840149692
0.24372177965885009,0.00012512512512512512,0.16754878374766105
0.2453199499258338,0.00012512512512512512,0.17032878909382518
0.24655071196705428,0.00012512512512512512,0.1731622560812617
0.24800048302399244,0.00012512512512512512,0.17594226142742583
0.24963724645052912,0.00012512512512512512,0.17872226677358996
0.2511760285684969,0.00012512512512512512,0.1815022721197541
0.2522220471732216,0.00012512512512512512,0.1843357391071906
0.2536802012770905,0.00012512512512512512,0.18711574445335472
0.25511285507623044,0.00012512512512512512,0.18989574979951884
0.2567347822031862,0.00012512512512512512,0.19267575514568297
0.25778789915914874,0.00012512512512512512,0.1954557604918471
0.2592361105899794,0.00025025025025025025,0.19823576583801122
0.26053966994555006,0.00025025025025025025,0.20101577118417535
0.2617246164682834,0.00025025025025025025,0.20379577653033948
0.2629966693156866,0.00025025025025025025,0.2065757818765036
0.26403236521367174,0.00025025025025025025,0.20940924886394013
0.2653570381645056,0.00025025025025025025,0.21218925421010426
0.2665714473872644,0.00025025025025025025,0.2149692595562684
0.26778109436143305,0.00025025025025025025,0.21774926490243252
0.26905436419071893,0.00025025025025025025,0.22058273188986902
0.27026608518506673,0.00025025025025025025,0.22336273723603314
0.2716657342102858,0.00025025025025025025,0.22614274258219727
0.27280663029420965,0.00025025025025025025,0.2289227479283614
0.2738259630492961,0.00025025025025025025,0.23175621491579793
0.2750492350352402,0.00025025025025025025,0.23453622026196205
0.276250636671915,0.00025025025025025025,0.23731622560812618
0.2773646525606705,0.00025025025025025025,0.2400962309542903
0.278309111701694,0.00025025025025025025,0.2429296979417268
0.2796508345686119,0.00025025025025025025,0.24570970328789093
0.2808347484765407,0.00037537537537537537,0.2484362469927827
0.28203993004178135,0.00037537537537537537,0.2512162523389468
0.2831728885767214,0.00037537537537537537,0.2540497193263833
0.2845789742111953,0.00037537537537537537,0.25682972467254744
