criterion,psi_al,detection_rate,false_alarm_rate
FAR <= 0.01,0.39209679842305545,0.5404437316225608,0.009884884884884884
FAR <= 0.05,0.4732872978599943,0.7469125902165197,0.04954954954954955
FAR <= 0.10,0.5174192722305749,0.8427158513766373,0.09984984984984985
DR >= 0.90,0.5520936874407659,0.9000267308206362,0.14226726726726727
DR >= 0.95,0.5934225185635564,0.9511895215183106,0.19244244244244244
DR >= 0.99,0.6940574433503607,0.990056134723336,0.3433433433433433
