attack,drift,offset,eta,n_generated,n_excluded_early_crossing,n_retained,n_positive,n_negative
0.35,0.01,-0.002,0.06276063829787235,200,5,195,192,3
0.35,0.01,0.0,0.06476063829787235,200,40,160,160,0
0.35,0.01,0.002,0.06676063829787235,200,122,78,78,0
0.35,0.01,0.004,0.06876063829787235,200,180,20,20,0
0.35,0.01,0.008,0.07276063829787235,200,200,0,0,0
0.4,0.01,-0.008,0.05421014492753623,200,0,200,8,192
0.4,0.01,-0.004,0.058210144927536234,200,1,199,146,53
0.4,0.01,-0.002,0.06021014492753623,200,7,193,191,2
0.4,0.01,0.0,0.06221014492753623,200,57,143,143,0
0.4,0.01,0.002,0.06421014492753623,200,119,81,81,0
0.4,0.01,0.004,0.06621014492753623,200,186,14,14,0
0.4,0.01,0.008,0.07021014492753623,200,200,0,0,0
0.05,0.02,-0.008,0.06247297297297296,200,0,200,6,194
0.05,0.02,-0.004,0.06647297297297296,200,0,200,142,58
0.05,0.02,-0.002,0.06847297297297296,200,5,195,192,3
0.05,0.02,0.0,0.07047297297297296,200,36,164,164,0
0.05,0.02,0.002,0.07247297297297296,200,113,87,87,0
0.05,0.02,0.004,0.07447297297297296,200,189,11,11,0
0.05,0.02,0.008,0.07847297297297295,200,200,0,0,0
0.1,0.02,-0.008,0.05986666666666667,200,0,200,3,197
0.1,0.02,-0.004,0.06386666666666667,200,0,200,155,45
0.1,0.02,-0.002,0.06586666666666667,200,7,193,191,2
0.1,0.02,0.0,0.06786666666666667,200,31,169,169,0
0.1,0.02,0.002,0.06986666666666667,200,119,81,81,0
0.1,0.02,0.004,0.07186666666666668,200,192,8,8,0
0.1,0.02,0.008,0.07586666666666667,200,200,0,0,0
0.15,0.02,-0.008,0.05720114942528736,200,0,200,10,190
0.15,0.02,-0.004,0.06120114942528736,200,0,200,155,45
0.15,0.02,-0.002,0.06320114942528736,200,6,194,191,3
0.15,0.02,0.0,0.06520114942528736,200,50,150,150,0
0.15,0.02,0.002,0.06720114942528736,200,131,69,69,0
0.15,0.02,0.004,0.06920114942528736,200,196,4,4,0
0.15,0.02,0.008,0.07320114942528735,200,200,0,0,0
0.2,0.02,-0.008,0.05399275362318841,200,0,200,3,197
0.2,0.02,-0.004,0.05799275362318841,200,1,199,135,64
0.2,0.02,-0.002,0.059992753623188406,200,7,193,190,3
0.2,0.02,0.0,0.06199275362318841,200,31,169,169,0
