scenario,t,qber_mean,qber_q05,qber_q50,qber_q95,margin_mean,margin_q05,margin_q50,margin_q95,psi_mean,psi_q05,psi_q50,psi_q95,p_secure,p_transition,p_insecure
low_disturbance,0.0,0.046530166530166533,0.042941236691236694,0.04652948402948403,0.04970823095823096,0.42008725432379007,0.3925806314417522,0.41995835119364416,0.4516554915819207,3.818975039307182,3.5689148312886565,3.8178031926694924,4.105959014381097,1.0,0.0,0.0
low_disturbance,1.0,0.04735599235599235,0.0433507371007371,0.0472972972972973,0.05062960687960688,0.41292727499397214,0.3847621556957119,0.4132866571056315,0.447993733224499,3.7538843181270187,3.4978377790519266,3.757151428233014,4.0726703020409,1.0,0.0,0.0
low_disturbance,2.0,0.04732050232050232,0.044067362817362815,0.0472972972972973,0.050936732186732184,0.41321805934708944,0.38216736561521475,0.4132866571056315,0.44161366778712124,3.7565278122462678,3.474248778320134,3.757151428233014,4.014669707155648,1.0,0.0,0.0
low_disturbance,3.0,0.047857630357630354,0.04391891891891892,0.04786036036036036,0.052016789516789515,0.4086409253963198,0.37308708254041545,0.4084182530943324,0.44293225691637894,3.714917503602907,3.3917007503674133,3.7128932099484766,4.02665688105799,1.0,0.0,0.0
low_disturbance,4.0,0.048205705705705704,0.044533169533169534,0.04791154791154791,0.05292792792792793,0.4056277142479912,0.36547958128860414,0.4079765792324753,0.43748543515394767,3.687524674981738,3.3225416480782193,3.708877993022503,3.9771403195813426,1.0,0.0,0.0
low_disturbance,5.0,0.0488977613977614,0.04484029484029484,0.048986486486486486,0.052323914823914824,0.39966321409737693,0.37051746919226247,0.39874128010249493,0.4347716401408801,3.63330194633979,3.368340629020568,3.6249207282044993,3.952469455826183,1.0,0.0,0.0
low_disturbance,6.0,0.0486029211029211,0.044886363636363634,0.04867936117936118,0.052006552006552006,0.40217764199414247,0.3731725275437693,0.40137259206465925,0.434365207278935,3.6561603817649315,3.392477523125175,3.648841746042357,3.948774611626682,1.0,0.0,0.0
low_disturbance,7.0,0.049326371826371826,0.04610462735462736,0.04924242424242424,0.05262080262080262,0.3959764171061422,0.36803842706708545,0.3965529036500842,0.42366709516475215,3.599785610055838,3.3458038824280494,3.6050263968189475,3.8515190469522924,1.0,0.0,0.0
low_disturbance,8.0,0.04998634998634999,0.04621723996723997,0.04985667485667486,0.05381347256347256,0.3903706524260661,0.3581325315038928,0.3913174284866836,0.42268240493760645,3.548824112964237,3.2557502863990253,3.55743116806076,3.8425673176146042,1.0,0.0,0.0
low_disturbance,9.0,0.050220447720447724,0.04671887796887797,0.05006142506142506,0.05381347256347256,0.38836774435066235,0.3581325315038928,0.3895773905016956,0.41830981915560494,3.530615857733294,3.2557502863990253,3.5416126409245052,3.802816537778227,1.0,0.0,0.0
