t,eta,attack,drift,shots,n_eff,qber_mean,qber_obs,secrecy_margin,leakage_burden,psi,dpsi_dt,dqber_dt,phase,scenario,repeat
34.0,0.035,0.08,0.008,10000,9768,0.0553260284615457,0.056511056511056514,0.33602001012093474,0.10158329238329239,3.0547273647357702,0.030177379057265252,-0.0004095004095004094,secure,low_disturbance,0
35.0,0.035,0.08,0.008,10000,9768,0.05533673142832264,0.05640868140868141,0.3368518664665273,0.10150651105651105,3.0622896951502483,0.018931695298414652,-0.00025593775593775805,secure,low_disturbance,0
36.0,0.035,0.08,0.008,10000,9768,0.05533154918180454,0.055999180999181,0.34018498308658596,0.10119938574938575,3.0925907553325995,0.011359008317112895,-0.00015356265356265483,secure,low_disturbance,0
37.0,0.035,0.08,0.008,10000,9768,0.0553107262564622,0.0561015561015561,0.33935084829629214,0.10127616707616709,3.085007711784474,0.08022963946906447,-0.0010749385749385734,secure,low_disturbance,0
38.0,0.035,0.08,0.008,10000,9768,0.05527455005677998,0.05384930384930385,0.3578355037697801,0.09958697788697789,3.2530500342707285,0.0840211612431272,-0.001126126126126125,secure,low_disturbance,0
39.0,0.035,0.08,0.008,10000,9768,0.05522335006949996,0.05384930384930385,0.3578355037697801,0.09958697788697789,3.2530500342707285,-0.12931821082207495,0.001740376740376741,secure,low_disturbance,0
40.0,0.035,0.08,0.008,10000,9768,0.05515749696052176,0.05733005733005733,0.32938549738892364,0.10219754299754301,2.9944136126265786,-0.03452726474958778,0.00046068796068796103,secure,low_disturbance,0
41.0,0.035,0.08,0.008,10000,9768,0.05507740155893305,0.05477067977067977,0.3502395055248708,0.10027800982800983,3.183995504771553,0.1756951349007354,-0.0023546273546273568,secure,low_disturbance,0
42.0,0.035,0.08,0.008,10000,9768,0.05498351373095557,0.05262080262080262,0.36803842706708545,0.09866560196560197,3.3458038824280494,0.09256012213487597,-0.0012285012285012283,secure,low_disturbance,0
43.0,0.035,0.08,0.008,10000,9768,0.05487632114689309,0.052313677313677316,0.37060273239454355,0.098435257985258,3.369115749041305,-0.08090418882824824,0.0010749385749385769,secure,low_disturbance,0
44.0,0.035,0.08,0.008,10000,9768,0.054756347944461006,0.05477067977067977,0.3502395055248708,0.10027800982800983,3.183995504771553,0.10207858005879644,-0.0013308763308763315,secure,low_disturbance,0
45.0,0.035,0.08,0.008,10000,9768,0.054624153292161304,0.04965192465192465,0.39306002000747875,0.0964389434889435,3.5732729091588977,0.0,0.0,secure,low_disturbance,0
46.0,0.035,0.08,0.008,10000,9768,0.054480329856640544,0.05477067977067977,0.3502395055248708,0.10027800982800983,3.183995504771553,-0.2022821002137496,0.0026617526617526595,secure,low_disturbance,0
47.0,0.035,0.08,0.008,10000,9768,0.0543255021782318,0.05497542997542997,0.34855795796045386,0.10043157248157249,3.1687087087313985,-0.03431218990264706,0.00046068796068796103,secure,low_disturbance,0
48.0,0.035,0.08,0.008,10000,9768,0.05416032495913299,0.055692055692055695,0.34269082374628845,0.10096904176904177,3.115371124966259,0.06917611107034505,-0.0009213759213759186,secure,low_disturbance,0
49.0,0.035,0.08,0.008,10000,9768,0.0539854812689137,0.053132678132678135,0.36377670239592974,0.0990495085995086,3.3070609308720886,0.04579721214748833,-0.0006142506142506159,secure,low_disturbance,0
50.0,0.035,0.08,0.008,10000,9768,0.05380168067226891,0.05446355446355446,0.3527662104187359,0.10004766584766585,3.2069655492612354,-0.015447969782937054,0.00020475020475020297,secure,low_disturbance,0
51.0,0.035,0.08,0.008,10000,9768,0.053609657284151575,0.05354217854217854,0.3603781490436836,0.0993566339066339,3.2761649913062145,0.09275598693196985,-0.0012285012285012283,secure,low_disturbance,0
