coefficient,sign,value,mean_abs_rel_change_pct,mean_abs_rel_change_pct_deterministic,mean_boundary
w_d,+10%,0.9900000000000001,2.6117310032821615,2.571714138705676,0.0635554012011166
w_d,-10%,0.81,2.6656627624346085,2.5714455104047365,0.06650152994253702
w_a,+10%,0.060500000000000005,2.0784697372483762,2.0728779845192333,0.06379031651346886
w_a,-10%,0.0495,2.077140910930907,2.071255090749434,0.066236921346976
kappa,+10%,2.8600000000000003,0.6494951921860478,0.6792777731184004,0.06460795140576248
kappa,-10%,2.3400000000000003,0.680784089380828,0.6803113383509769,0.06543392697506349
w_M,+10%,1.4850000000000003,0.6057634495867046,0.6097597341825833,0.06466890328194505
w_M,-10%,1.215,0.6456085866970341,0.6108055936634943,0.06537601605855643
r_d,+10%,1.2100000000000002,0.24694761048488909,0.0071751014598389826,0.06502673876451887
r_d,-10%,0.9900000000000001,0.19806382333767092,0.0071452972232810405,0.06502203146707716
r_a,+10%,0.198,0.2509422909596602,0.01579416876154872,0.06504276612669022
r_a,-10%,0.162,0.21135641273781056,0.015658199947269042,0.06500740070767133
