shots,mean_eta_c,sd_eta_c,min_eta_c,max_eta_c
2000,0.05995081095999181,0.012655432447055526,0.03492424242424243,0.08272727272727272
5000,0.06344276988905886,0.012627217567084258,0.03837301587301587,0.08534313725490196
10000,0.06509728538997958,0.01266428083859563,0.040125,0.08710526315789473
20000,0.06635933767286993,0.012696516091440681,0.04127450980392157,0.0885
