attack,drift,eta_c_margin,eta_c_psecure50,eta_c_boot_low,eta_c_boot_med,eta_c_boot_high,max_abs_dp_deta
0.05,0.005,0.0877172411646626,0.08723684210526315,0.08673780487804877,0.08725204918032786,0.08778106031254035,103.9999999999999
0.1,0.005,0.0847323478259285,0.08441176470588234,0.08413282178217821,0.08442692939244663,0.08492198988970588,113.59999999999991
0.15,0.005,0.08229816697489424,0.08204545454545453,0.08169942073170731,0.08205479452054794,0.08246629401408449,126.40000000000023
0.2,0.005,0.07928696663292627,0.07892045454545454,0.0786503861556064,0.07891311919504643,0.07924410635964912,117.60000000000005
0.25,0.005,0.07656299909041588,0.07635135135135135,0.07602446883088869,0.07635565476190476,0.07671254002846468,110.3999999999999
0.3,0.005,0.07403477361755799,0.07358108108108108,0.07321906565656565,0.07360169491525423,0.07397635358507199,112.7999999999999
0.35,0.005,0.07120786066870322,0.07091911764705881,0.07054287831733483,0.07092105263157894,0.07126671641791044,102.40000000000015
0.4,0.005,0.06819013075129654,0.06738095238095239,0.06697098214285714,0.06738235294117648,0.0679372619047619,109.60000000000005
0.05,0.01,0.08215701482319578,0.08163043478260869,0.081297002997003,0.08166666666666667,0.08215521467207572,102.40000000000023
0.1,0.01,0.07938465192295957,0.07902439024390244,0.07870196273645284,0.07901690729483282,0.07939765060240964,114.40000000000009
0.15,0.01,0.07656956682186063,0.07626923076923077,0.07579530502392344,0.07629421556387848,0.07667861533957845,104.79999999999991
0.2,0.01,0.07382937744690929,0.07335227272727272,0.07298897603754939,0.07336210317460318,0.07368260463133036,116.7999999999999
0.25,0.01,0.07119419478988724,0.07090909090909091,0.07035068369453044,0.07089587440157702,0.07125041666666666,102.40000000000016
0.3,0.01,0.06808157270294923,0.06786666666666667,0.06736178221288516,0.06784948922940262,0.06828947368421052,123.20000000000023
0.35,0.01,0.06529913355865075,0.06476063829787235,0.06447289121240603,0.06476774154878927,0.06512365984405459,132.7999999999999
0.4,0.01,0.06270217036673642,0.06221014492753623,0.06182600308641975,0.06221998207885304,0.06266334239130435,120.00000000000006
0.05,0.02,0.07071135039011049,0.07047297297297296,0.06994501618871414,0.07047621251388374,0.07080625,114.40000000000023
0.1,0.02,0.06818214098741981,0.06786666666666667,0.06740546875,0.06783994607087827,0.06819088084795322,116.00000000000024
0.15,0.02,0.06547883702304381,0.06520114942528736,0.06478867871865338,0.06518519036954087,0.06557513392857144,118.39999999999989
0.2,0.02,0.06266080170137678,0.06199275362318841,0.06164767333141542,0.06199324324324324,0.06255904453707767,117.60000000000002
0.25,0.02,0.05992315607495406,0.05960000000000001,0.059270816851265826,0.05960365853658537,0.060144631410256416,121.60000000000008
0.3,0.02,0.05724667099299191,0.05682692307692308,0.05646560704022989,0.056815476190476194,0.05725811975254087,114.3999999999999
0.35,0.02,0.05455570068882965,0.05421875,0.053884994523548745,0.05420588235294118,0.05455651091081594,120.80000000000005
0.4,0.02,0.0515634270605545,0.05103174603174603,0.05053158871938981,0.05103509852216749,0.051439393939393944,102.3999999999999
0.05,0.03,0.059814268202276116,0.05935810810810811,0.05906212797619048,0.059357625482625485,0.05984903996865204,115.20000000000005
0.1,0.03,0.057335495737804755,0.05660958904109589,0.05627065677966102,0.05660958904109589,0.05706262019230769,109.59999999999991
0.15,0.03,0.05439171537234955,0.05405263157894737,0.05381058307590468,0.05406565656565657,0.05436183678965796,125.60000000000012
0.2,0.03,0.051508680851906234,0.051105263157894744,0.05085820554947061,0.05109937572590012,0.05136031454248366,116.79999999999993
0.25,0.03,0.048774268011625814,0.04851973684210526,0.04813229131029764,0.048535714285714286,0.048877029858564694,105.59999999999991
0.3,0.03,0.0459319889749563,0.04567073170731708,0.04524193948412698,0.04567945075757576,0.04602162563667233,112.00000000000011
0.35,0.03,0.043218557502744094,0.04290625000000001,0.042430425995024876,0.04287037037037037,0.043184346642468244,110.3999999999999
0.4,0.03,0.040281971751233846,0.040136986301369866,0.039691152968036526,0.04016338358697198,0.04054242259736621,108.79999999999993
