phase_margin,mean_eta_c,mean_delta,sd_delta
0.01,0.06527822941106018,0.00020197484167574662,8.718572206160693e-05
0.02,0.06507625456938443,0.0,0.0
0.03,0.06494160156298659,-0.0001346530063978397,7.147106866356009e-05
0.05,0.064569773566571,-0.0005064810028134305,0.00012874565697628673
